[WEBSOCKET] Server running on ws://localhost:3002
[API] Server running on http://localhost:3001
[API] Started trading session session_1757043303263
[TRADING_BOT] Cycle 1: PnL=$0.96, Positions=0
[TRADING_BOT] Cycle 2: PnL=$0.68, Positions=1
[TRADING_BOT] Cycle 3: PnL=$0.71, Positions=2
[TRADING_BOT] Cycle 4: PnL=$-0.05, Positions=2
[TRADING_BOT] Cycle 5: PnL=$0.08, Positions=1
[TRADING_BOT] Cycle 6: PnL=$0.12, Positions=1
[TRADING_BOT] Cycle 7: PnL=$-0.35, Positions=1
[TRADING_BOT] Cycle 8: PnL=$0.57, Positions=1
[TRADING_BOT] Cycle 9: PnL=$0.47, Positions=1
[TRADING_BOT] Cycle 10: PnL=$0.63, Positions=0
[TRADING_BOT] Cycle 11: PnL=$0.01, Positions=0
[TRADING_BOT] Cycle 12: PnL=$-0.23, Positions=0
[TRADING_BOT] Cycle 13: PnL=$-0.29, Positions=0
[TRADING_BOT] Cycle 14: PnL=$-0.14, Positions=0
[TRADING_BOT] Cycle 15: PnL=$-0.65, Positions=1
[TRADING_BOT] Cycle 16: PnL=$-1.01, Positions=1
[TRADING_BOT] Cycle 17: PnL=$0.09, Positions=2
[TRADING_BOT] Cycle 18: PnL=$-0.30, Positions=2
[TRADING_BOT] Cycle 19: PnL=$-0.23, Positions=1
[TRADING_BOT] Cycle 20: PnL=$0.43, Positions=1
[TRADING_BOT] Cycle 21: PnL=$1.02, Positions=0
[TRADING_BOT] Cycle 22: PnL=$0.84, Positions=0
[TRADING_BOT] Cycle 23: PnL=$1.82, Positions=0
[TRADING_BOT] Cycle 24: PnL=$1.97, Positions=0
[TRADING_BOT] Cycle 25: PnL=$2.17, Positions=0
[TRADING_BOT] Cycle 26: PnL=$2.78, Positions=0
[TRADING_BOT] Cycle 27: PnL=$2.16, Positions=0
[TRADING_BOT] Cycle 28: PnL=$3.31, Positions=0
[TRADING_BOT] Cycle 29: PnL=$3.48, Positions=0
[TRADING_BOT] Cycle 30: PnL=$3.91, Positions=0
[TRADING_BOT] Cycle 31: PnL=$4.74, Positions=0
[TRADING_BOT] Cycle 32: PnL=$4.04, Positions=1
[TRADING_BOT] Cycle 33: PnL=$4.03, Positions=1
[TRADING_BOT] Cycle 34: PnL=$4.20, Positions=0
[TRADING_BOT] Cycle 35: PnL=$4.66, Positions=0
[TRADING_BOT] Cycle 36: PnL=$4.30, Positions=0
[TRADING_BOT] Cycle 37: PnL=$4.48, Positions=0
